word,global_frequency,document_frequency,idf_score
voice,103,60,1.811017
stage,103,51,1.973536
monastery,103,46,2.076720
brief,102,42,2.167692
spirit,102,54,1.916378
seat,102,53,1.935070
unified,102,71,1.642682
explore,102,55,1.898029
particularly,101,65,1.730975
taste,101,37,2.294444
shore,101,19,2.960923
relationships,101,56,1.880010
bodily,101,41,2.191790
role,101,59,1.827824
alternative,101,58,1.844919
inspired,101,60,1.811017
lists,101,34,2.379001
higher,100,40,2.216482
selfing,100,24,2.727308
tone,100,38,2.267776
cling,100,42,2.167692
children,100,52,1.954118
impact,100,57,1.862311
painful,100,49,2.013542
developing,100,73,1.614902
cool,100,52,1.954118
curiosity,100,45,2.098699
woman,100,34,2.379001
changed,99,59,1.827824
anymore,99,72,1.628696
welfare,99,41,2.191790
huge,99,60,1.811017
generally,99,71,1.642682
theravada,99,64,1.746479
wherever,99,74,1.601297
gone,99,69,1.671255
appreciative,99,26,2.647265
separate,99,56,1.880010
specific,99,68,1.685854
beneficial,99,50,1.993339
school,99,51,1.973536
phrase,99,59,1.827824
relief,98,53,1.935070
onto,98,68,1.685854
held,98,62,1.778227
gratitude,98,42,2.167692
poetry,98,22,2.814319
emptiness,98,35,2.350014
concerned,98,62,1.778227
haven,98,77,1.561556
everywhere,98,63,1.762227
comments,97,71,1.642682
easily,97,67,1.700669
since,97,72,1.628696
chair,97,68,1.685854
objects,97,54,1.916378
absence,97,41,2.191790
considered,96,73,1.614902
various,96,64,1.746479
grounding,96,51,1.973536
memory,96,43,2.144162
shouldn,96,63,1.762227
showing,96,61,1.794488
single,96,61,1.794488
health,96,56,1.880010
choice,96,45,2.098699
movements,96,65,1.730975
causes,95,64,1.746479
empty,95,50,1.993339
discourses,95,58,1.844919
bodies,95,60,1.811017
lay,95,45,2.098699
closing,95,77,1.561556
mostly,95,67,1.700669
broad,95,62,1.778227
quieter,95,58,1.844919
worry,95,53,1.935070
brought,94,66,1.715707
basically,94,45,2.098699
brain,94,48,2.034161
awakened,94,46,2.076720
waves,94,39,2.241800
matthew,94,45,2.098699
versus,94,53,1.935070
reflections,94,58,1.844919
pulled,94,62,1.778227
respond,94,50,1.993339
valuable,93,65,1.730975
constantly,93,51,1.973536
phenomena,93,59,1.827824
dependent,93,46,2.076720
otherwise,93,60,1.811017
internal,93,47,2.055214
bell,93,48,2.034161
curious,93,53,1.935070
hate,93,52,1.954118
titans,93,3,4.806750
totally,92,44,2.121172
exist,92,61,1.794488
texts,92,58,1.844919
mother,92,40,2.216482
range,92,58,1.844919
record,92,87,1.439454
quietly,92,66,1.715707
throughout,91,63,1.762227
brensilver,91,44,2.121172
inconstancy,91,29,2.538066
fixed,91,45,2.098699
passing,91,48,2.034161
busy,91,68,1.685854
quickly,91,68,1.685854
india,90,44,2.121172
inspiring,90,59,1.827824
study,90,54,1.916378
pass,90,62,1.778227
sensitivity,90,45,2.098699
god,90,49,2.013542
chat,90,56,1.880010
keeping,90,67,1.700669
areas,90,59,1.827824
supporting,90,53,1.935070
building,89,57,1.862311
concentrated,89,55,1.898029
rebirth,89,42,2.167692
lying,89,66,1.715707
sweetness,89,26,2.647265
imagination,89,42,2.167692
courage,89,26,2.647265
meaningful,88,59,1.827824
judgments,88,57,1.862311
constant,88,58,1.844919
anxiety,88,52,1.954118
taken,88,67,1.700669
touching,88,61,1.794488
contraction,88,56,1.880010
oriented,88,48,2.034161
provides,88,63,1.762227
precepts,87,22,2.814319
sustaining,87,19,2.960923
distinction,87,51,1.973536
closed,87,72,1.628696
cycle,87,63,1.762227
modern,87,51,1.973536
pieces,87,28,2.573157
lack,86,51,1.973536
expand,86,66,1.715707
tendency,86,58,1.844919
reasons,86,65,1.730975
sweet,86,49,2.013542
chance,86,57,1.862311
ego,86,38,2.267776
problems,86,53,1.935070
sensitive,86,53,1.935070
looked,86,50,1.993339
underneath,86,47,2.055214
son,86,30,2.504164
types,86,45,2.098699
karma,85,32,2.439626
accept,85,51,1.973536
education,85,20,2.909630
created,85,61,1.794488
speaker,85,51,1.973536
authoritative,85,82,1.498643
mudita,85,21,2.860839
situations,85,59,1.827824
