word,global_frequency_percent,document_frequency_percent,global_freq_score,document_freq_score,avg_tfidf_score,combined_score
roast,0.000,0.003,1.000,0.005,0.026,0.012
pork,0.000,0.003,1.000,0.005,0.026,0.012
hooted,0.000,0.003,1.000,0.005,0.026,0.012
wheat,0.000,0.003,1.000,0.005,0.026,0.012
brand-new,0.000,0.003,1.000,0.005,0.026,0.012
peas,0.000,0.003,1.000,0.005,0.026,0.012
headwoman's,0.000,0.003,1.000,0.005,0.026,0.012
glazed,0.000,0.003,1.000,0.005,0.026,0.012
crammed,0.000,0.003,1.000,0.005,0.026,0.012
platters,0.000,0.003,1.000,0.005,0.026,0.012
stinging,0.000,0.003,1.000,0.005,0.026,0.012
tray,0.000,0.003,1.000,0.005,0.026,0.012
absurdly,0.000,0.003,1.000,0.005,0.026,0.012
solnit,0.000,0.003,1.000,0.005,0.026,0.012
aspires,0.000,0.003,1.000,0.005,0.026,0.012
insurrection,0.000,0.003,1.000,0.005,0.026,0.012
bestowed,0.000,0.003,1.000,0.005,0.026,0.012
earned,0.000,0.003,1.000,0.005,0.026,0.012
bernstein,0.000,0.003,1.000,0.005,0.026,0.012
devotedly,0.000,0.003,1.000,0.005,0.026,0.012
screwtape,0.000,0.003,1.000,0.005,0.026,0.012
acceleration,0.000,0.003,1.000,0.005,0.026,0.012
froth,0.000,0.003,1.000,0.005,0.026,0.012
purpose-built,0.000,0.003,1.000,0.005,0.026,0.012
kits,0.000,0.003,1.000,0.005,0.026,0.012
pirate,0.000,0.003,1.000,0.005,0.026,0.012
rigging,0.000,0.003,1.000,0.005,0.026,0.012
reaffirm,0.000,0.003,1.000,0.005,0.026,0.012
wooo,0.000,0.003,1.000,0.005,0.026,0.012
exhilarating,0.000,0.003,1.000,0.005,0.026,0.012
longchenpa,0.000,0.003,1.000,0.005,0.026,0.012
shaded,0.000,0.003,1.000,0.005,0.026,0.012
moistening,0.000,0.003,1.000,0.005,0.026,0.012
vivification,0.000,0.003,1.000,0.005,0.026,0.012
temperament,0.000,0.003,1.000,0.005,0.026,0.012
familiarize,0.000,0.003,1.000,0.005,0.026,0.012
linden,0.000,0.003,1.000,0.005,0.026,0.012
nearest,0.000,0.003,1.000,0.005,0.026,0.012
dearest,0.000,0.003,1.000,0.005,0.026,0.012
self-blame,0.000,0.003,1.000,0.005,0.026,0.012
not-rightness,0.000,0.003,1.000,0.005,0.026,0.012
overwrite,0.000,0.003,1.000,0.005,0.026,0.012
unburdening,0.000,0.003,1.000,0.005,0.026,0.012
pluses,0.000,0.003,1.000,0.005,0.026,0.012
minuses,0.000,0.003,1.000,0.005,0.026,0.012
overwriting,0.000,0.003,1.000,0.005,0.026,0.012
uptight,0.000,0.003,1.000,0.005,0.026,0.012
zeroth,0.000,0.003,1.000,0.005,0.026,0.012
unites,0.000,0.003,1.000,0.005,0.026,0.012
opt,0.000,0.003,1.000,0.005,0.026,0.012
anglican,0.000,0.003,1.000,0.005,0.025,0.012
digestible,0.000,0.003,1.000,0.005,0.025,0.012
task-focused,0.000,0.003,1.000,0.005,0.025,0.012
liabilities,0.000,0.003,1.000,0.005,0.025,0.012
achilles,0.000,0.003,1.000,0.005,0.025,0.012
smartest,0.000,0.003,1.000,0.005,0.025,0.012
worldviews,0.000,0.003,1.000,0.005,0.025,0.012
mormon,0.000,0.003,1.000,0.005,0.025,0.012
trickier,0.000,0.003,1.000,0.005,0.025,0.012
venezuela,0.000,0.003,1.000,0.005,0.025,0.012
peek,0.000,0.003,1.000,0.005,0.025,0.012
decision-maker,0.000,0.003,1.000,0.005,0.025,0.012
respiratory,0.000,0.003,1.000,0.005,0.025,0.012
workup,0.000,0.003,1.000,0.005,0.025,0.012
re-educate,0.000,0.003,1.000,0.005,0.025,0.012
affiliation,0.000,0.003,1.000,0.005,0.025,0.012
judaism,0.000,0.003,1.000,0.005,0.025,0.012
swedenborg,0.000,0.003,1.000,0.005,0.025,0.012
rabbinical,0.000,0.003,1.000,0.005,0.025,0.012
forums,0.000,0.003,1.000,0.005,0.025,0.012
transferable,0.000,0.003,1.000,0.005,0.025,0.012
oversee,0.000,0.003,1.000,0.005,0.025,0.012
mobile,0.000,0.003,1.000,0.005,0.025,0.012
dislocated,0.000,0.003,1.000,0.005,0.025,0.012
mulcahy,0.000,0.003,1.000,0.005,0.025,0.012
overseas,0.000,0.003,1.000,0.005,0.025,0.012
pre-pandemic,0.000,0.003,1.000,0.005,0.025,0.012
maui,0.000,0.003,1.000,0.005,0.025,0.012
humanist,0.000,0.003,1.000,0.005,0.025,0.012
atheist,0.000,0.003,1.000,0.005,0.025,0.012
memberships,0.000,0.003,1.000,0.005,0.025,0.012
part-time,0.000,0.003,1.000,0.005,0.025,0.012
crowning,0.000,0.003,1.000,0.005,0.025,0.012
chaplain's,0.000,0.003,1.000,0.005,0.025,0.012
amass,0.000,0.003,1.000,0.005,0.025,0.012
endorsement,0.000,0.003,1.000,0.005,0.025,0.012
non-family,0.000,0.003,1.000,0.005,0.025,0.012
worst-case,0.000,0.003,1.000,0.005,0.025,0.012
generator,0.000,0.003,1.000,0.005,0.025,0.012
greasy,0.000,0.003,1.000,0.005,0.025,0.012
carla,0.000,0.003,1.000,0.005,0.025,0.012
spades,0.000,0.003,1.000,0.005,0.025,0.012
tailor,0.000,0.003,1.000,0.005,0.025,0.012
certificates,0.000,0.003,1.000,0.005,0.025,0.012
bloomed,0.000,0.003,1.000,0.005,0.025,0.012
hats,0.000,0.003,1.000,0.005,0.025,0.012
elmwood,0.000,0.003,1.000,0.005,0.025,0.012
midwest,0.000,0.003,1.000,0.005,0.025,0.012
ohio,0.000,0.003,1.000,0.005,0.025,0.012
fremont,0.000,0.003,1.000,0.005,0.025,0.012
shelters,0.000,0.003,1.000,0.005,0.025,0.012
portray,0.000,0.003,1.000,0.005,0.025,0.012
wallet,0.000,0.003,1.000,0.005,0.025,0.012
front-row,0.000,0.003,1.000,0.005,0.025,0.012
muslims,0.000,0.003,1.000,0.005,0.025,0.012
sects,0.000,0.003,1.000,0.005,0.025,0.012
jehovah's,0.000,0.003,1.000,0.005,0.025,0.012
catholics,0.000,0.003,1.000,0.005,0.025,0.012
protestants,0.000,0.003,1.000,0.005,0.025,0.012
pokes,0.000,0.005,1.000,0.011,0.012,0.012
vocation,0.000,0.005,1.000,0.011,0.012,0.012
outstretched,0.000,0.003,1.000,0.005,0.023,0.011
guitar-like,0.000,0.003,1.000,0.005,0.023,0.011
avadesi,0.000,0.003,1.000,0.005,0.023,0.011
rakkhita,0.000,0.003,1.000,0.005,0.023,0.011
angavijja,0.000,0.003,1.000,0.005,0.023,0.011
pitaka,0.000,0.003,1.000,0.005,0.023,0.011
suttacentral,0.000,0.003,1.000,0.005,0.023,0.011
1880s,0.000,0.003,1.000,0.005,0.023,0.011
avadayi,0.000,0.003,1.000,0.005,0.023,0.011
purohita,0.000,0.003,1.000,0.005,0.023,0.011
conman,0.000,0.003,1.000,0.005,0.023,0.011
aromatics,0.000,0.003,1.000,0.005,0.023,0.011
perfumery,0.000,0.003,1.000,0.005,0.023,0.011
clasping,0.000,0.003,1.000,0.005,0.023,0.011
blubbering,0.000,0.003,1.000,0.005,0.023,0.011
likeness,0.000,0.003,1.000,0.005,0.023,0.011
peerless,0.000,0.003,1.000,0.005,0.023,0.011
kinnari,0.000,0.003,1.000,0.005,0.023,0.011
payment,0.000,0.003,1.000,0.005,0.023,0.011
hastening,0.000,0.003,1.000,0.005,0.023,0.011
ailed,0.000,0.003,1.000,0.005,0.023,0.011
malady,0.000,0.003,1.000,0.005,0.023,0.011
mistress's,0.000,0.003,1.000,0.005,0.023,0.011
cheerily,0.000,0.003,1.000,0.005,0.023,0.011
smuggle,0.000,0.003,1.000,0.005,0.023,0.011
hereupon,0.000,0.003,1.000,0.005,0.023,0.011
emptied,0.000,0.003,1.000,0.005,0.023,0.011
smuggled,0.000,0.003,1.000,0.005,0.023,0.011
succeeded,0.000,0.003,1.000,0.005,0.023,0.011
wrecking,0.000,0.003,1.000,0.005,0.023,0.011
cuff,0.000,0.003,1.000,0.005,0.023,0.011
unsuspecting,0.000,0.003,1.000,0.005,0.023,0.011
smote,0.000,0.003,1.000,0.005,0.023,0.011
smarting,0.000,0.003,1.000,0.005,0.023,0.011
rubbed,0.000,0.003,1.000,0.005,0.023,0.011
bruised,0.000,0.003,1.000,0.005,0.023,0.011
stowed,0.000,0.003,1.000,0.005,0.023,0.011
naughtiness,0.000,0.003,1.000,0.005,0.023,0.011
sevenfold,0.000,0.003,1.000,0.005,0.023,0.011
taxed,0.000,0.003,1.000,0.005,0.023,0.011
alight,0.000,0.003,1.000,0.005,0.023,0.011
seize,0.000,0.003,1.000,0.005,0.023,0.011
bidden,0.000,0.003,1.000,0.005,0.023,0.011
fervor,0.000,0.003,1.000,0.005,0.023,0.011
asseveration,0.000,0.003,1.000,0.005,0.023,0.011
up-dashed,0.000,0.003,1.000,0.005,0.023,0.011
guile,0.000,0.003,1.000,0.005,0.023,0.011
womankind,0.000,0.003,1.000,0.005,0.023,0.011
pastures,0.000,0.003,1.000,0.005,0.023,0.011
unsated,0.000,0.003,1.000,0.005,0.023,0.011
yearn,0.000,0.003,1.000,0.005,0.023,0.011
preached,0.000,0.003,1.000,0.005,0.023,0.011
testimony,0.000,0.003,1.000,0.005,0.023,0.011
estimated,0.000,0.003,1.000,0.005,0.023,0.011
gloss,0.000,0.003,1.000,0.005,0.023,0.011
grotesque,0.000,0.003,1.000,0.005,0.023,0.011
dicing,0.000,0.003,1.000,0.005,0.023,0.011
abuses,0.000,0.003,1.000,0.005,0.023,0.011
exploit,0.000,0.003,1.000,0.005,0.023,0.011
rapunzel,0.000,0.003,1.000,0.005,0.023,0.011
well-constructed,0.000,0.003,1.000,0.005,0.023,0.011
foreshadowing,0.000,0.003,1.000,0.005,0.023,0.011
baskets,0.000,0.003,1.000,0.005,0.023,0.011
schemes,0.000,0.003,1.000,0.005,0.023,0.011
conman's,0.000,0.003,1.000,0.005,0.023,0.011
arthashastra,0.000,0.003,1.000,0.005,0.023,0.011
punching,0.000,0.003,1.000,0.005,0.023,0.011
cleverly,0.000,0.003,1.000,0.005,0.023,0.011
subverting,0.000,0.003,1.000,0.005,0.023,0.011
misuse,0.000,0.003,1.000,0.005,0.023,0.011
brihadaranyaka,0.000,0.003,1.000,0.005,0.023,0.011
adapted,0.000,0.003,1.000,0.005,0.023,0.011
daughters,0.000,0.003,1.000,0.005,0.023,0.011
recruitment,0.000,0.003,1.000,0.005,0.023,0.011
corruption,0.000,0.003,1.000,0.005,0.023,0.011
subtext,0.000,0.003,1.000,0.005,0.023,0.011
virulent,0.000,0.003,1.000,0.005,0.023,0.011
disharmony,0.000,0.003,1.000,0.005,0.023,0.011
gamergate,0.000,0.003,1.000,0.005,0.023,0.011
jammed,0.000,0.003,1.000,0.005,0.022,0.011
saddhamma,0.000,0.003,1.000,0.005,0.022,0.011
ramparts,0.000,0.003,1.000,0.005,0.022,0.011
worthless,0.000,0.003,1.000,0.005,0.022,0.011
dusty,0.000,0.003,1.000,0.005,0.022,0.011
restrained,0.000,0.003,1.000,0.005,0.022,0.011
adorn,0.000,0.003,1.000,0.005,0.022,0.011
scents,0.000,0.003,1.000,0.005,0.022,0.011
swallowing,0.000,0.003,1.000,0.005,0.022,0.011
abound,0.000,0.003,1.000,0.005,0.022,0.011
baroque,0.000,0.003,1.000,0.005,0.022,0.011
slavery,0.000,0.003,1.000,0.005,0.022,0.011
apprentice,0.000,0.003,1.000,0.005,0.022,0.011
homogeneous,0.000,0.003,1.000,0.005,0.022,0.011
dispersion,0.000,0.003,1.000,0.005,0.022,0.011
ascend,0.000,0.003,1.000,0.005,0.022,0.011
tushita,0.000,0.003,1.000,0.005,0.022,0.011
upstairs,0.000,0.003,1.000,0.005,0.022,0.011
reappeared,0.000,0.003,1.000,0.005,0.022,0.011
sailors,0.000,0.003,1.000,0.005,0.022,0.011
rajagaha,0.000,0.003,1.000,0.005,0.022,0.011
principal,0.000,0.003,1.000,0.005,0.022,0.011
despises,0.000,0.003,1.000,0.005,0.022,0.011
kamala,0.000,0.003,1.000,0.005,0.022,0.011
faucets,0.000,0.003,1.000,0.005,0.022,0.011
paralyzing,0.000,0.003,1.000,0.005,0.022,0.011
exiting,0.000,0.003,1.000,0.005,0.022,0.011
sharpening,0.000,0.003,1.000,0.005,0.022,0.011
sharpened,0.000,0.003,1.000,0.005,0.022,0.011
mercedes-benz,0.000,0.003,1.000,0.005,0.022,0.011
kolvig,0.000,0.003,1.000,0.005,0.022,0.011
casino,0.000,0.003,1.000,0.005,0.022,0.011
exits,0.000,0.003,1.000,0.005,0.022,0.011
download,0.000,0.003,1.000,0.005,0.022,0.011
shrewd,0.000,0.003,1.000,0.005,0.022,0.011
screw,0.000,0.003,1.000,0.005,0.022,0.011
android,0.000,0.003,1.000,0.005,0.022,0.011
iphone,0.000,0.003,1.000,0.005,0.022,0.011
conflicting,0.000,0.003,1.000,0.005,0.022,0.011
neurological,0.000,0.003,1.000,0.005,0.022,0.011
eardrum,0.000,0.003,1.000,0.005,0.022,0.011
digits,0.000,0.003,1.000,0.005,0.022,0.011
bust,0.000,0.003,1.000,0.005,0.022,0.011
zen-like,0.000,0.003,1.000,0.005,0.022,0.011
toys,0.000,0.003,1.000,0.005,0.022,0.011
hostess,0.000,0.003,1.000,0.005,0.022,0.011
cupcakes,0.000,0.003,1.000,0.005,0.022,0.011
posits,0.000,0.003,1.000,0.005,0.022,0.011
gaseousness,0.000,0.003,1.000,0.005,0.022,0.011
g,0.000,0.003,1.000,0.005,0.022,0.011
ear-consciousness,0.000,0.003,1.000,0.005,0.022,0.011
hesse's,0.000,0.003,1.000,0.005,0.022,0.011
questing,0.000,0.003,1.000,0.005,0.022,0.011
clerks,0.000,0.003,1.000,0.005,0.022,0.011
self-transcendence,0.000,0.003,1.000,0.005,0.022,0.011
unhealed,0.000,0.003,1.000,0.005,0.022,0.011
enforced,0.000,0.003,1.000,0.005,0.022,0.011
hurricane,0.000,0.003,1.000,0.005,0.022,0.011
black-and-white,0.000,0.003,1.000,0.005,0.022,0.011
bitterness,0.000,0.003,1.000,0.005,0.022,0.011
psychiatrist,0.000,0.003,1.000,0.005,0.022,0.011
nos,0.000,0.003,1.000,0.005,0.022,0.011
self-suppression,0.000,0.003,1.000,0.005,0.022,0.011
goleman,0.000,0.003,1.000,0.005,0.022,0.011
fielding,0.000,0.003,1.000,0.005,0.022,0.011
condemnation,0.000,0.003,1.000,0.005,0.022,0.011
journalism,0.000,0.003,1.000,0.005,0.022,0.011
newsworthy,0.000,0.003,1.000,0.005,0.022,0.011
skewed,0.000,0.003,1.000,0.005,0.022,0.011
ashram,0.000,0.003,1.000,0.005,0.022,0.011
compensating,0.000,0.003,1.000,0.005,0.022,0.011
perfectionistic,0.000,0.003,1.000,0.005,0.022,0.011
somber,0.000,0.003,1.000,0.005,0.022,0.011
lamott,0.000,0.003,1.000,0.005,0.022,0.011
myopia,0.000,0.003,1.000,0.005,0.022,0.011
cellulite,0.000,0.003,1.000,0.005,0.022,0.011
blessedly,0.000,0.003,1.000,0.005,0.022,0.011
blurred,0.000,0.003,1.000,0.005,0.022,0.011
zorba,0.000,0.003,1.000,0.005,0.022,0.011
ipad,0.000,0.003,1.000,0.005,0.022,0.011
tummy,0.000,0.003,1.000,0.005,0.022,0.011
unsought,0.000,0.003,1.000,0.005,0.022,0.011
shambhala,0.000,0.003,1.000,0.005,0.022,0.011
fort,0.000,0.003,1.000,0.005,0.022,0.011
turnout,0.000,0.003,1.000,0.005,0.022,0.011
texted,0.000,0.003,1.000,0.005,0.022,0.011
oven,0.000,0.003,1.000,0.005,0.022,0.011
kissing,0.000,0.003,1.000,0.005,0.022,0.011
shushing,0.000,0.003,1.000,0.005,0.022,0.011
heavy-breathing,0.000,0.003,1.000,0.005,0.022,0.011
stockholm,0.000,0.003,1.000,0.005,0.022,0.011
licensed,0.000,0.003,1.000,0.005,0.022,0.011
analyst,0.000,0.003,1.000,0.005,0.022,0.011
brimstone,0.000,0.003,1.000,0.005,0.022,0.011
abusively,0.000,0.003,1.000,0.005,0.022,0.011
rosa,0.000,0.003,1.000,0.005,0.022,0.011
parks,0.000,0.003,1.000,0.005,0.022,0.011
treading,0.000,0.003,1.000,0.005,0.022,0.011
retroflection,0.000,0.003,1.000,0.005,0.022,0.011
conflict-avoidant,0.000,0.003,1.000,0.005,0.022,0.011
chodron's,0.000,0.003,1.000,0.005,0.022,0.011
jeering,0.000,0.003,1.000,0.005,0.022,0.011
scorned,0.000,0.003,1.000,0.005,0.022,0.011
despised,0.000,0.003,1.000,0.005,0.022,0.011
ethnic,0.000,0.003,1.000,0.005,0.022,0.011
uncovered,0.000,0.003,1.000,0.005,0.022,0.011
streamed,0.000,0.003,1.000,0.005,0.022,0.011
kathmandu,0.000,0.003,1.000,0.005,0.022,0.011
mourning,0.000,0.003,1.000,0.005,0.022,0.011
temptation,0.000,0.003,1.000,0.005,0.022,0.011
tapped,0.000,0.003,1.000,0.005,0.022,0.011
frailty,0.000,0.003,1.000,0.005,0.022,0.011
quirks,0.000,0.003,1.000,0.005,0.022,0.011
keating,0.000,0.003,1.000,0.005,0.022,0.011
pema's,0.000,0.003,1.000,0.005,0.022,0.011
worldliness,0.000,0.003,1.000,0.005,0.022,0.011
transcended,0.000,0.003,1.000,0.005,0.022,0.011
schizophrenic,0.000,0.003,1.000,0.005,0.022,0.011
unrelieved,0.000,0.003,1.000,0.005,0.022,0.011
revolves,0.000,0.003,1.000,0.005,0.022,0.011
sabbatical,0.000,0.003,1.000,0.005,0.022,0.011
baker,0.000,0.003,1.000,0.005,0.022,0.011
spiritus,0.000,0.003,1.000,0.005,0.022,0.011
ira,0.000,0.003,1.000,0.005,0.022,0.011
progoff,0.000,0.003,1.000,0.005,0.022,0.011
meaning-makers,0.000,0.003,1.000,0.005,0.022,0.011
recitation,0.000,0.003,1.000,0.005,0.022,0.011
gathas,0.000,0.003,1.000,0.005,0.022,0.011
exam,0.000,0.003,1.000,0.005,0.022,0.011
pratanu,0.000,0.003,1.000,0.005,0.022,0.011
mudana,0.000,0.003,1.000,0.005,0.022,0.011
wish-fulfilling,0.000,0.003,1.000,0.005,0.022,0.011
dogen,0.000,0.005,1.000,0.011,0.010,0.011
frontier,0.000,0.005,1.000,0.011,0.010,0.011
step-wise,0.000,0.003,1.000,0.005,0.021,0.011
interpolations,0.000,0.003,1.000,0.005,0.021,0.011
drawback,0.000,0.003,1.000,0.005,0.021,0.011
long-lasting,0.000,0.003,1.000,0.005,0.021,0.011
godlike,0.000,0.003,1.000,0.005,0.021,0.011
sacrificed,0.000,0.003,1.000,0.005,0.021,0.011
opapatika,0.000,0.003,1.000,0.005,0.021,0.011
charter,0.000,0.003,1.000,0.005,0.021,0.011
pascal's,0.000,0.003,1.000,0.005,0.021,0.011
wager,0.000,0.003,1.000,0.005,0.021,0.011
steven,0.000,0.003,1.000,0.005,0.021,0.011
truthtelling,0.000,0.003,1.000,0.005,0.021,0.011
grandma's,0.000,0.003,1.000,0.005,0.021,0.011
planes,0.000,0.003,1.000,0.005,0.021,0.011
sugati,0.000,0.003,1.000,0.005,0.021,0.011
tavatimsa,0.000,0.003,1.000,0.005,0.021,0.011
creations,0.000,0.003,1.000,0.005,0.021,0.011
ascendingly,0.000,0.003,1.000,0.005,0.021,0.011
equate,0.000,0.003,1.000,0.005,0.021,0.011
unswerving,0.000,0.003,1.000,0.005,0.021,0.011
sotapanna,0.000,0.003,1.000,0.005,0.021,0.011
anupubbikatha,0.000,0.003,1.000,0.005,0.021,0.011
maternal,0.000,0.003,1.000,0.005,0.021,0.011
devanussati,0.000,0.003,1.000,0.005,0.021,0.011
unperturbed,0.000,0.003,1.000,0.005,0.021,0.011
halo,0.000,0.003,1.000,0.005,0.021,0.011
osmosis,0.000,0.003,1.000,0.005,0.021,0.011
emulate,0.000,0.003,1.000,0.005,0.021,0.011
multi-life,0.000,0.003,1.000,0.005,0.021,0.011
affinities,0.000,0.003,1.000,0.005,0.021,0.011
caganussati,0.000,0.003,1.000,0.005,0.021,0.011
successively,0.000,0.003,1.000,0.005,0.021,0.011
outright,0.000,0.003,1.000,0.005,0.021,0.011
goad,0.000,0.003,1.000,0.005,0.021,0.011
punna,0.000,0.003,1.000,0.005,0.021,0.011
past-life,0.000,0.003,1.000,0.005,0.021,0.011
regression,0.000,0.003,1.000,0.005,0.021,0.011
customs,0.000,0.003,1.000,0.005,0.021,0.011
deva-humans,0.000,0.003,1.000,0.005,0.021,0.011
dibba-cakkhu,0.000,0.003,1.000,0.005,0.021,0.011
stepwise,0.000,0.003,1.000,0.005,0.021,0.011
clairvoyant,0.000,0.003,1.000,0.005,0.021,0.011
afar,0.000,0.003,1.000,0.005,0.021,0.011
consequently,0.000,0.003,1.000,0.005,0.021,0.011
wretch,0.000,0.003,1.000,0.005,0.021,0.011
santideva,0.000,0.003,1.000,0.005,0.021,0.011
hell-being,0.000,0.003,1.000,0.005,0.021,0.011
irked,0.000,0.003,1.000,0.005,0.021,0.011
mahasiddhas,0.000,0.003,1.000,0.005,0.021,0.011
siddhi,0.000,0.003,1.000,0.005,0.021,0.011
adepts,0.000,0.003,1.000,0.005,0.021,0.011
rectangles,0.000,0.003,1.000,0.005,0.021,0.011
lifeblood,0.000,0.003,1.000,0.005,0.021,0.011
flourished,0.000,0.003,1.000,0.005,0.021,0.011
engineers,0.000,0.003,1.000,0.005,0.021,0.011
slaughter,0.000,0.003,1.000,0.005,0.021,0.011
withdraw,0.000,0.003,1.000,0.005,0.021,0.011
dead-ended,0.000,0.003,1.000,0.005,0.021,0.011
dismount,0.000,0.003,1.000,0.005,0.021,0.011
dismounting,0.000,0.003,1.000,0.005,0.021,0.011
herded,0.000,0.003,1.000,0.005,0.021,0.011
astonishingly,0.000,0.003,1.000,0.005,0.021,0.011
athletic,0.000,0.003,1.000,0.005,0.021,0.011
acrobat's,0.000,0.003,1.000,0.005,0.021,0.011
stutters,0.000,0.003,1.000,0.005,0.021,0.011
installed,0.000,0.003,1.000,0.005,0.021,0.011
glances,0.000,0.003,1.000,0.005,0.021,0.011
stammered,0.000,0.003,1.000,0.005,0.021,0.011
whirled,0.000,0.003,1.000,0.005,0.021,0.011
penned,0.000,0.003,1.000,0.005,0.021,0.011
chained,0.000,0.003,1.000,0.005,0.021,0.011
crept,0.000,0.003,1.000,0.005,0.021,0.011
sneers,0.000,0.003,1.000,0.005,0.021,0.011
nicest,0.000,0.003,1.000,0.005,0.021,0.011
shoveling,0.000,0.003,1.000,0.005,0.021,0.011
well-shaven-headed,0.000,0.003,1.000,0.005,0.021,0.011
worker's,0.000,0.003,1.000,0.005,0.021,0.011
passageway,0.000,0.003,1.000,0.005,0.021,0.011
mile,0.000,0.003,1.000,0.005,0.021,0.011
roofs,0.000,0.003,1.000,0.005,0.021,0.011
stripped,0.000,0.003,1.000,0.005,0.021,0.011
waterproofing,0.000,0.003,1.000,0.005,0.021,0.011
cartwheel,0.000,0.003,1.000,0.005,0.021,0.011
wildfire,0.000,0.003,1.000,0.005,0.021,0.011
abomination,0.000,0.003,1.000,0.005,0.021,0.011
wench,0.000,0.003,1.000,0.005,0.021,0.011
second-best,0.000,0.003,1.000,0.005,0.021,0.011
third-best,0.000,0.003,1.000,0.005,0.021,0.011
harem,0.000,0.003,1.000,0.005,0.021,0.011
drought,0.000,0.003,1.000,0.005,0.021,0.011
elect,0.000,0.003,1.000,0.005,0.021,0.011
eldest,0.000,0.003,1.000,0.005,0.021,0.011
habitation,0.000,0.003,1.000,0.005,0.021,0.011
scooped,0.000,0.003,1.000,0.005,0.021,0.011
goblet,0.000,0.003,1.000,0.005,0.021,0.011
toasted,0.000,0.003,1.000,0.005,0.021,0.011
salute,0.000,0.003,1.000,0.005,0.021,0.011
stoned-out,0.000,0.003,1.000,0.005,0.021,0.011
well-fed,0.000,0.003,1.000,0.005,0.021,0.011
spiff,0.000,0.003,1.000,0.005,0.021,0.011
repairs,0.000,0.003,1.000,0.005,0.021,0.011
abolish,0.000,0.003,1.000,0.005,0.021,0.011
no's,0.000,0.003,1.000,0.005,0.021,0.011
kissed,0.000,0.003,1.000,0.005,0.021,0.011
lieutenant's,0.000,0.003,1.000,0.005,0.021,0.011
surpassed,0.000,0.003,1.000,0.005,0.021,0.011
feint,0.000,0.003,1.000,0.005,0.021,0.011
ether,0.000,0.003,1.000,0.005,0.021,0.011
portugal,0.000,0.003,1.000,0.005,0.021,0.011
telepathy,0.000,0.003,1.000,0.005,0.021,0.011
extrasensory,0.000,0.003,1.000,0.005,0.021,0.011
dei,0.000,0.003,1.000,0.005,0.021,0.011
displayed,0.000,0.003,1.000,0.005,0.021,0.011
hesse,0.000,0.003,1.000,0.005,0.021,0.011
rowed,0.000,0.003,1.000,0.005,0.021,0.011
commonplace,0.000,0.003,1.000,0.005,0.021,0.011
instructing,0.000,0.003,1.000,0.005,0.021,0.011
bcbs,0.000,0.003,1.000,0.005,0.021,0.011
footage,0.000,0.003,1.000,0.005,0.021,0.011
fatal,0.000,0.003,1.000,0.005,0.021,0.011
mahasatipatthana,0.000,0.003,1.000,0.005,0.020,0.010
composition,0.000,0.003,1.000,0.005,0.020,0.010
r-rated,0.000,0.003,1.000,0.005,0.020,0.010
touring,0.000,0.003,1.000,0.005,0.020,0.010
landlord,0.000,0.003,1.000,0.005,0.020,0.010
payasi's,0.000,0.003,1.000,0.005,0.020,0.010
diseased,0.000,0.003,1.000,0.005,0.020,0.010
breakup,0.000,0.003,1.000,0.005,0.020,0.010
executed,0.000,0.003,1.000,0.005,0.020,0.010
wardens,0.000,0.003,1.000,0.005,0.020,0.010
refrained,0.000,0.003,1.000,0.005,0.020,0.010
dependable,0.000,0.003,1.000,0.005,0.020,0.010
shampoo,0.000,0.003,1.000,0.005,0.020,0.010
finest,0.000,0.003,1.000,0.005,0.020,0.010
sloth-inducing,0.000,0.003,1.000,0.005,0.020,0.010
thump,0.000,0.003,1.000,0.005,0.020,0.010
conch,0.000,0.003,1.000,0.005,0.020,0.010
thumped,0.000,0.003,1.000,0.005,0.020,0.010
stupidly,0.000,0.003,1.000,0.005,0.020,0.010
abroad,0.000,0.003,1.000,0.005,0.020,0.010
contempt,0.000,0.003,1.000,0.005,0.020,0.010
wreath,0.000,0.003,1.000,0.005,0.020,0.010
splashed,0.000,0.003,1.000,0.005,0.020,0.010
stocked,0.000,0.003,1.000,0.005,0.020,0.010
splattered,0.000,0.003,1.000,0.005,0.020,0.010
foolishly,0.000,0.003,1.000,0.005,0.020,0.010
unseasonable,0.000,0.003,1.000,0.005,0.020,0.010
bespattered,0.000,0.003,1.000,0.005,0.020,0.010
inhabitants,0.000,0.003,1.000,0.005,0.020,0.010
migrated,0.000,0.003,1.000,0.005,0.020,0.010
kassapa's,0.000,0.003,1.000,0.005,0.020,0.010
opponent,0.000,0.003,1.000,0.005,0.020,0.010
untilled,0.000,0.003,1.000,0.005,0.020,0.010
sows,0.000,0.003,1.000,0.005,0.020,0.010
low-quality,0.000,0.003,1.000,0.005,0.020,0.010
well-tilled,0.000,0.003,1.000,0.005,0.020,0.010
wayfarers,0.000,0.003,1.000,0.005,0.020,0.010
beggars,0.000,0.003,1.000,0.005,0.020,0.010
unappetizing,0.000,0.003,1.000,0.005,0.020,0.010
gavampati,0.000,0.003,1.000,0.005,0.020,0.010
grudgingly,0.000,0.003,1.000,0.005,0.020,0.010
kaccana,0.000,0.003,1.000,0.005,0.020,0.010
misbehaving,0.000,0.003,1.000,0.005,0.020,0.010
sells,0.000,0.003,1.000,0.005,0.020,0.010
coca-cola,0.000,0.003,1.000,0.005,0.020,0.010
untrustworthy,0.000,0.003,1.000,0.005,0.020,0.010
